Start Date,End Date,Item Name,Menu Category,Gross Item Sales,Item Volume,% of Total Item Volume,Total Item Missing or Incorrect Errors,% of Total Missing/Incorrect Errors,Item Missing/Incorrect %,Total Item Error Charges,Currency
2025-01-01,2026-06-03,2 Cheeseburger Meal,Extra Value Meals,83888.6,7772,2.76,254,3.18,3.04,1699.2,USD
2025-01-01,2026-06-03,French Fries,Fries,56829.18,14612,5.18,305,3.81,2.06,1118.08,USD
2025-01-01,2026-06-03,6 pc. Chicken McNuggets® Happy Meal®,Happy Meal,56467.56,7868,2.79,304,3.8,3.74,1694.95,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets®,Chicken,44074.42,7358,2.61,165,2.06,2.16,803.58,USD
2025-01-01,2026-06-03,20 pc. Chicken McNuggets®,Most Popular,40980.46,4344,1.54,137,1.71,3.04,1101.05,USD
2025-01-01,2026-06-03,Hash Browns,Hash Browns and Sides,39147.37,14243,5.05,198,2.48,1.38,670.75,USD
2025-01-01,2026-06-03,McChicken®,Chicken,33583.61,10271,3.64,163,2.04,1.59,522.31,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets® Meal,Most Popular,28674.36,2604,0.92,93,1.16,3.49,591.21,USD
2025-01-01,2026-06-03,20 pc. Chicken McNuggets®,Chicken,23468.85,2485,0.88,104,1.3,4.06,867.87,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets®,McNuggets & Meals,21719.74,3626,1.29,104,1.3,2.84,522.61,USD
2025-01-01,2026-06-03,Sausage McMuffin® with Egg,Most Popular,20742.08,4344,1.54,56,0.7,1.27,253.68,USD
2025-01-01,2026-06-03,McDouble®,Burgers,19880.99,5345,1.89,95,1.19,1.74,354.45,USD
2025-01-01,2026-06-03,Big Mac® Meal,Extra Value Meals,19367.91,1760,0.62,91,1.14,5.17,511.03,USD
2025-01-01,2026-06-03,French Fries,Most Popular,18844.1,4920,1.74,105,1.31,2.09,373.58,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets®,Individual Items,18239.55,3045,1.08,63,0.79,2.0,339.82,USD
2025-01-01,2026-06-03,Caramel Frappé,McCafé® Coffees,18012.38,3325,1.18,97,1.21,2.86,401.11,USD
2025-01-01,2026-06-03,Big Breakfast® with Hotcakes,Homestyle Breakfasts,17544.79,1944,0.69,61,0.76,3.14,411.44,USD
2025-01-01,2026-06-03,Classic Big Mac® Pack ,Shareables,16906.82,674,0.24,41,0.51,6.08,453.84,USD
2025-01-01,2026-06-03,Double Cheeseburger,Burgers,16288.53,4008,1.42,61,0.76,1.5,227.9,USD
2025-01-01,2026-06-03,"Sausage, Egg & Cheese McGriddles®",Individual Items,15633.96,2751,0.98,48,0.6,1.71,246.91,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets® Meal,Extra Value Meals,15309.82,1398,0.5,59,0.74,4.01,304.93,USD
2025-01-01,2026-06-03,Big Mac®,Individual Items,15026.14,2471,0.88,53,0.66,2.06,222.44,USD
2025-01-01,2026-06-03,2 Cheeseburger Meal,Combo Meals,14035.12,1312,0.47,82,1.03,6.17,492.74,USD
2025-01-01,2026-06-03,10 pc. Chicken McNuggets® Meal,McNuggets & Meals,13926.52,1248,0.44,74,0.93,5.93,498.43,USD
2025-01-01,2026-06-03,Hamburger Happy Meal®,Happy Meal,13339.78,2107,0.75,81,1.01,3.8,357.25,USD
2025-01-01,2026-06-03,13 Cookie Tote,Sweets & Treats,12875.81,1719,0.61,54,0.68,3.14,320.13,USD
2025-01-01,2026-06-03,2 Cheeseburger Meal,Meals,11733.52,1092,0.39,51,0.64,4.67,259.22,USD
2025-01-01,2026-06-03,Chicken Pack,Shareables,11576.76,340,0.12,24,0.3,6.18,325.77,USD
2025-01-01,2026-06-03,Sausage McMuffin® with Egg,Sandwiches,11169.15,2349,0.83,38,0.48,1.53,150.81,USD
