Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2025-01-01,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,4,144.97,23.86,0.0,0.0,0.0,0.0,0.0,36.24,6.08,0,4,4,0,4,4
2025-01-01,true,50a60936-0cd3-4d90-bb18-728cc5bb359c,Happy Hour Item Discount 06/09/2024,NULL,2024-06-09,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,5,110.01,16.8,0.0,0.0,4.95,0.0,0.0,22.0,5.06,0,5,5,0,4,4
2025-01-02,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,14,326.77,83.36,0.0,0.0,0.0,0.0,0.0,23.34,3.92,1,12,14,0,12,13
2025-01-03,true,50a60936-0cd3-4d90-bb18-728cc5bb359c,Happy Hour Item Discount 06/09/2024,NULL,2024-06-09,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,27.97,6.74,0.0,0.0,0.99,0.0,0.0,27.97,3.62,0,1,1,0,1,1
2025-01-03,false,e67ef61b-2745-467a-8467-74ce30a9e456,mcd-bogo10pc-010125-033125-lapsed,Custom campaign,2025-01-01,2025-04-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,16.57,5.99,0.0,0.0,0.0,0.0,0.0,16.57,2.77,0,0,1,0,0,1
2025-01-03,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,17,398.64,101.73,0.0,0.0,0.0,0.0,0.0,23.45,3.92,1,15,16,1,10,11
2025-01-04,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,31,740.0,184.49,0.0,0.0,0.0,0.0,0.0,23.87,4.01,2,29,31,0,24,24
2025-01-04,true,50a60936-0cd3-4d90-bb18-728cc5bb359c,Happy Hour Item Discount 06/09/2024,NULL,2024-06-09,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,5,99.97,15.66,0.0,0.0,4.95,0.0,0.0,19.99,4.85,0,4,5,0,3,3
2025-01-05,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,25,636.67,148.95,0.0,0.0,0.0,0.0,0.0,25.47,4.27,1,22,24,1,15,16
2025-01-05,true,50a60936-0cd3-4d90-bb18-728cc5bb359c,Happy Hour Item Discount 06/09/2024,NULL,2024-06-09,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,15.28,2.65,0.0,0.0,0.99,0.0,0.0,15.28,4.2,0,1,1,0,1,1
2025-01-05,false,e67ef61b-2745-467a-8467-74ce30a9e456,mcd-bogo10pc-010125-033125-lapsed,Custom campaign,2025-01-01,2025-04-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,2,56.67,11.98,0.0,0.0,0.0,0.0,0.0,28.34,4.73,0,2,2,0,1,1
2025-01-06,false,e67ef61b-2745-467a-8467-74ce30a9e456,mcd-bogo10pc-010125-033125-lapsed,Custom campaign,2025-01-01,2025-04-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,3,63.06,17.97,0.0,0.0,0.0,0.0,0.0,21.02,3.51,0,3,3,0,2,2
2025-01-06,false,73379b8b-793f-4357-8217-fda02e08f960,mcd-free10pcbm15-010125-013125-allcx,Custom campaign,2025-01-01,2025-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,8,220.0,47.72,0.0,0.0,0.0,0.0,0.0,27.5,4.61,1,7,8,0,5,5
2025-01-06,true,50a60936-0cd3-4d90-bb18-728cc5bb359c,Happy Hour Item Discount 06/09/2024,NULL,2024-06-09,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,4,57.61,8.91,0.0,0.0,3.96,0.0,0.0,14.4,4.48,1,2,4,0,2,2
