Store ID,Store Name,Day,Slot,Slot Tag,Orders,Sales,AOV,Campaign Type,Campaign Name,Ads Campaign Name,Minimum Subtotal,Minimum Bid,Status
10661,,Monday,Overnight,1,6,104.0,17.33,Offer,TODC-10661-$25,,25,,Pending
10661,,Monday,Breakfast,8,4,68.0,17.0,Offer + Ads,TODC-10661-$25,TODC-ADS-10661,25,3.0,Pending
10661,,Monday,Lunch,15,4,77.0,19.25,Offer + Ads,TODC-10661-$25,TODC-ADS-10661,25,3.0,Pending
10661,,Monday,Afternoon,22,4,82.0,20.5,Offer + Ads,TODC-10661-$25,TODC-ADS-10661,25,3.0,Pending
10661,,Monday,Dinner,29,4,88.0,22.0,Offer + Ads,TODC-10661-$30,TODC-ADS-10661,30,3.0,Pending
10661,,Monday,Late night,36,15,268.0,17.87,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Overnight,2,8,141.0,17.62,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Breakfast,9,4,68.0,17.0,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Lunch,16,5,91.0,18.2,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Afternoon,23,6,118.0,19.67,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Dinner,30,5,102.0,20.4,Offer,TODC-10661-$25,,25,,Pending
10661,,Tuesday,Late night,37,13,233.0,17.92,Offer,TODC-10661-$25,,25,,Pending
10661,,Wednesday,Overnight,3,6,103.0,17.17,Offer,TODC-10661-$25,,25,,Pending
10661,,Wednesday,Breakfast,10,4,76.0,19.0,Offer,TODC-10661-$25,,25,,Pending
10661,,Wednesday,Lunch,17,5,94.0,18.8,Offer,TODC-10661-$25,,25,,Pending
10661,,Wednesday,Afternoon,24,4,64.0,16.0,Offer,TODC-10661-$20,,20,,Pending
10661,,Wednesday,Dinner,31,5,114.0,22.8,Offer,TODC-10661-$30,,30,,Pending
10661,,Wednesday,Late night,38,14,257.0,18.36,Offer,TODC-10661-$25,,25,,Pending
10661,,Thursday,Overnight,4,10,184.0,18.4,Offer,TODC-10661-$25,,25,,Pending
10661,,Thursday,Breakfast,11,5,86.0,17.2,Offer,TODC-10661-$25,,25,,Pending
10661,,Thursday,Lunch,18,5,97.0,19.4,Offer,TODC-10661-$25,,25,,Pending
10661,,Thursday,Afternoon,25,4,82.0,20.5,Offer,TODC-10661-$25,,25,,Pending
10661,,Thursday,Dinner,32,5,109.0,21.8,Offer,TODC-10661-$30,,30,,Pending
10661,,Thursday,Late night,39,14,256.0,18.29,Offer,TODC-10661-$25,,25,,Pending
10661,,Friday,Overnight,5,8,125.0,15.62,Offer,TODC-10661-$20,,20,,Pending
10661,,Friday,Breakfast,12,5,94.0,18.8,Offer,TODC-10661-$25,,25,,Pending
10661,,Friday,Lunch,19,6,118.0,19.67,Offer,TODC-10661-$25,,25,,Pending
10661,,Friday,Afternoon,26,4,83.0,20.75,Offer + Ads,TODC-10661-$25,TODC-ADS-10661,25,3.0,Pending
10661,,Friday,Dinner,33,6,111.0,18.5,Offer,TODC-10661-$25,,25,,Pending
10661,,Friday,Late night,40,11,197.0,17.91,Offer,TODC-10661-$25,,25,,Pending
10661,,Saturday,Overnight,6,9,146.0,16.22,Offer,TODC-10661-$20,,20,,Pending
10661,,Saturday,Breakfast,13,5,103.0,20.6,Offer,TODC-10661-$25,,25,,Pending
10661,,Saturday,Lunch,20,4,85.0,21.25,Offer + Ads,TODC-10661-$30,TODC-ADS-10661,30,3.0,Pending
10661,,Saturday,Afternoon,27,4,65.0,16.25,Offer + Ads,TODC-10661-$20,TODC-ADS-10661,20,3.0,Pending
10661,,Saturday,Dinner,34,5,102.0,20.4,Offer,TODC-10661-$25,,25,,Pending
10661,,Saturday,Late night,41,9,166.0,18.44,Offer,TODC-10661-$25,,25,,Pending
10661,,Sunday,Overnight,7,7,124.0,17.71,Offer,TODC-10661-$25,,25,,Pending
10661,,Sunday,Breakfast,14,4,72.0,18.0,Offer,TODC-10661-$25,,25,,Pending
10661,,Sunday,Lunch,21,6,112.0,18.67,Offer,TODC-10661-$25,,25,,Pending
10661,,Sunday,Afternoon,28,4,85.0,21.25,Offer + Ads,TODC-10661-$30,TODC-ADS-10661,30,3.0,Pending
10661,,Sunday,Dinner,35,5,99.0,19.8,Offer,TODC-10661-$25,,25,,Pending
10661,,Sunday,Late night,42,14,250.0,17.86,Offer,TODC-10661-$25,,25,,Pending
11399,,Monday,Overnight,1,13,216.0,16.62,Offer,TODC-11399-$20,,20,,Pending
11399,,Monday,Breakfast,8,11,201.0,18.27,Offer,TODC-11399-$25,,25,,Pending
11399,,Monday,Lunch,15,9,140.0,15.56,Offer + Ads,TODC-11399-$20,TODC-ADS-11399,20,3.0,Pending
11399,,Monday,Afternoon,22,8,136.0,17.0,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Monday,Dinner,29,9,173.0,19.22,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Monday,Late night,36,25,413.0,16.52,Offer,TODC-11399-$20,,20,,Pending
11399,,Tuesday,Overnight,2,14,221.0,15.79,Offer,TODC-11399-$20,,20,,Pending
11399,,Tuesday,Breakfast,9,10,146.0,14.6,Offer,TODC-11399-$20,,20,,Pending
11399,,Tuesday,Lunch,16,9,156.0,17.33,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Tuesday,Afternoon,23,9,167.0,18.56,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Tuesday,Dinner,30,11,199.0,18.09,Offer,TODC-11399-$25,,25,,Pending
11399,,Tuesday,Late night,37,26,416.0,16.0,Offer,TODC-11399-$20,,20,,Pending
11399,,Wednesday,Overnight,3,18,287.0,15.94,Offer,TODC-11399-$20,,20,,Pending
11399,,Wednesday,Breakfast,10,10,172.0,17.2,Offer,TODC-11399-$25,,25,,Pending
11399,,Wednesday,Lunch,17,9,139.0,15.44,Offer + Ads,TODC-11399-$20,TODC-ADS-11399,20,3.0,Pending
11399,,Wednesday,Afternoon,24,8,158.0,19.75,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Wednesday,Dinner,31,11,218.0,19.82,Offer,TODC-11399-$25,,25,,Pending
11399,,Wednesday,Late night,38,29,512.0,17.66,Offer,TODC-11399-$25,,25,,Pending
11399,,Thursday,Overnight,4,17,291.0,17.12,Offer,TODC-11399-$25,,25,,Pending
11399,,Thursday,Breakfast,11,12,219.0,18.25,Offer,TODC-11399-$25,,25,,Pending
11399,,Thursday,Lunch,18,9,163.0,18.11,Offer + Ads,TODC-11399-$25,TODC-ADS-11399,25,3.0,Pending
11399,,Thursday,Afternoon,25,10,152.0,15.2,Offer,TODC-11399-$20,,20,,Pending
11399,,Thursday,Dinner,32,10,197.0,19.7,Offer,TODC-11399-$25,,25,,Pending
11399,,Thursday,Late night,39,32,563.0,17.59,Offer,TODC-11399-$25,,25,,Pending
11399,,Friday,Overnight,5,19,324.0,17.05,Offer,TODC-11399-$25,,25,,Pending
11399,,Friday,Breakfast,12,13,214.0,16.46,Offer,TODC-11399-$20,,20,,Pending
11399,,Friday,Lunch,19,11,189.0,17.18,Offer,TODC-11399-$25,,25,,Pending
11399,,Friday,Afternoon,26,10,192.0,19.2,Offer,TODC-11399-$25,,25,,Pending
11399,,Friday,Dinner,33,12,197.0,16.42,Offer,TODC-11399-$20,,20,,Pending
11399,,Friday,Late night,40,26,471.0,18.12,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Overnight,6,19,325.0,17.11,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Breakfast,13,14,268.0,19.14,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Lunch,20,11,197.0,17.91,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Afternoon,27,10,190.0,19.0,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Dinner,34,12,222.0,18.5,Offer,TODC-11399-$25,,25,,Pending
11399,,Saturday,Late night,41,22,379.0,17.23,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Overnight,7,17,289.0,17.0,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Breakfast,14,13,257.0,19.77,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Lunch,21,10,179.0,17.9,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Afternoon,28,10,178.0,17.8,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Dinner,35,11,211.0,19.18,Offer,TODC-11399-$25,,25,,Pending
11399,,Sunday,Late night,42,24,404.0,16.83,Offer,TODC-11399-$25,,25,,Pending
12093,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
12093,,Monday,Breakfast,8,2,41.0,20.5,Offer + Ads,TODC-12093-$25,TODC-ADS-12093,25,3.0,Pending
12093,,Monday,Lunch,15,2,33.0,16.5,Offer + Ads,TODC-12093-$20,TODC-ADS-12093,20,3.0,Pending
12093,,Monday,Afternoon,22,2,30.0,15.0,Offer + Ads,TODC-12093-$20,TODC-ADS-12093,20,3.0,Pending
12093,,Monday,Dinner,29,2,36.0,18.0,Offer + Ads,TODC-12093-$25,TODC-ADS-12093,25,3.0,Pending
12093,,Monday,Late night,36,2,48.0,24.0,Offer + Ads,TODC-12093-$30,TODC-ADS-12093,30,3.0,Pending
12093,,Tuesday,Overnight,2,0,0.0,0.0,None,no campaign,,,,
12093,,Tuesday,Breakfast,9,3,50.0,16.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Tuesday,Lunch,16,3,56.0,18.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Tuesday,Afternoon,23,2,32.0,16.0,Offer,TODC-12093-$20,,20,,Pending
12093,,Tuesday,Dinner,30,2,38.0,19.0,Offer,TODC-12093-$25,,25,,Pending
12093,,Tuesday,Late night,37,2,35.0,17.5,Offer,TODC-12093-$25,,25,,Pending
12093,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
12093,,Wednesday,Breakfast,10,3,45.0,15.0,Offer,TODC-12093-$20,,20,,Pending
12093,,Wednesday,Lunch,17,3,43.0,14.33,Offer,TODC-12093-$20,,20,,Pending
12093,,Wednesday,Afternoon,24,2,43.0,21.5,Offer,TODC-12093-$30,,30,,Pending
12093,,Wednesday,Dinner,31,2,50.0,25.0,Offer,TODC-12093-$30,,30,,Pending
12093,,Wednesday,Late night,38,3,52.0,17.33,Offer,TODC-12093-$25,,25,,Pending
12093,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
12093,,Thursday,Breakfast,11,3,65.0,21.67,Offer,TODC-12093-$30,,30,,Pending
12093,,Thursday,Lunch,18,3,64.0,21.33,Offer,TODC-12093-$30,,30,,Pending
12093,,Thursday,Afternoon,25,3,62.0,20.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Thursday,Dinner,32,2,41.0,20.5,Offer,TODC-12093-$25,,25,,Pending
12093,,Thursday,Late night,39,3,55.0,18.33,Offer,TODC-12093-$25,,25,,Pending
12093,,Friday,Overnight,5,0,0.0,0.0,None,no campaign,,,,
12093,,Friday,Breakfast,12,3,56.0,18.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Friday,Lunch,19,3,51.0,17.0,Offer,TODC-12093-$25,,25,,Pending
12093,,Friday,Afternoon,26,2,42.0,21.0,Offer + Ads,TODC-12093-$30,TODC-ADS-12093,30,3.0,Pending
12093,,Friday,Dinner,33,3,56.0,18.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Friday,Late night,40,3,66.0,22.0,Offer,TODC-12093-$30,,30,,Pending
12093,,Saturday,Overnight,6,0,0.0,0.0,None,no campaign,,,,
12093,,Saturday,Breakfast,13,2,44.0,22.0,Offer + Ads,TODC-12093-$30,TODC-ADS-12093,30,3.0,Pending
12093,,Saturday,Lunch,20,3,63.0,21.0,Offer,TODC-12093-$30,,30,,Pending
12093,,Saturday,Afternoon,27,3,55.0,18.33,Offer,TODC-12093-$25,,25,,Pending
12093,,Saturday,Dinner,34,2,41.0,20.5,Offer + Ads,TODC-12093-$25,TODC-ADS-12093,25,3.0,Pending
12093,,Saturday,Late night,41,4,67.0,16.75,Offer,TODC-12093-$25,,25,,Pending
12093,,Sunday,Overnight,7,0,0.0,0.0,None,no campaign,,,,
12093,,Sunday,Breakfast,14,3,66.0,22.0,Offer,TODC-12093-$30,,30,,Pending
12093,,Sunday,Lunch,21,3,54.0,18.0,Offer,TODC-12093-$25,,25,,Pending
12093,,Sunday,Afternoon,28,2,28.0,14.0,Offer,TODC-12093-$20,,20,,Pending
12093,,Sunday,Dinner,35,3,62.0,20.67,Offer,TODC-12093-$25,,25,,Pending
12093,,Sunday,Late night,42,3,58.0,19.33,Offer,TODC-12093-$25,,25,,Pending
12502,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
12502,,Monday,Breakfast,8,14,209.0,14.93,Offer,TODC-12502-$20,,20,,Pending
12502,,Monday,Lunch,15,9,152.0,16.89,Offer,TODC-12502-$25,,25,,Pending
12502,,Monday,Afternoon,22,6,103.0,17.17,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Monday,Dinner,29,9,151.0,16.78,Offer,TODC-12502-$25,,25,,Pending
12502,,Monday,Late night,36,9,147.0,16.33,Offer,TODC-12502-$20,,20,,Pending
12502,,Tuesday,Overnight,2,1,21.0,21.0,Offer + Ads,TODC-12502-$30,TODC-ADS-12502,30,3.0,Pending
12502,,Tuesday,Breakfast,9,13,201.0,15.46,Offer,TODC-12502-$20,,20,,Pending
12502,,Tuesday,Lunch,16,6,105.0,17.5,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Tuesday,Afternoon,23,8,151.0,18.88,Offer,TODC-12502-$25,,25,,Pending
12502,,Tuesday,Dinner,30,8,143.0,17.88,Offer,TODC-12502-$25,,25,,Pending
12502,,Tuesday,Late night,37,10,162.0,16.2,Offer,TODC-12502-$20,,20,,Pending
12502,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
12502,,Wednesday,Breakfast,10,14,188.0,13.43,Offer,TODC-12502-$20,,20,,Pending
12502,,Wednesday,Lunch,17,9,145.0,16.11,Offer,TODC-12502-$20,,20,,Pending
12502,,Wednesday,Afternoon,24,6,107.0,17.83,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Wednesday,Dinner,31,10,179.0,17.9,Offer,TODC-12502-$25,,25,,Pending
12502,,Wednesday,Late night,38,10,162.0,16.2,Offer,TODC-12502-$20,,20,,Pending
12502,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
12502,,Thursday,Breakfast,11,15,211.0,14.07,Offer,TODC-12502-$20,,20,,Pending
12502,,Thursday,Lunch,18,9,161.0,17.89,Offer,TODC-12502-$25,,25,,Pending
12502,,Thursday,Afternoon,25,7,110.0,15.71,Offer,TODC-12502-$20,,20,,Pending
12502,,Thursday,Dinner,32,10,193.0,19.3,Offer,TODC-12502-$25,,25,,Pending
12502,,Thursday,Late night,39,10,173.0,17.3,Offer,TODC-12502-$25,,25,,Pending
12502,,Friday,Overnight,5,0,0.0,0.0,None,no campaign,,,,
12502,,Friday,Breakfast,12,17,259.0,15.24,Offer,TODC-12502-$20,,20,,Pending
12502,,Friday,Lunch,19,10,162.0,16.2,Offer,TODC-12502-$20,,20,,Pending
12502,,Friday,Afternoon,26,7,127.0,18.14,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Friday,Dinner,33,10,191.0,19.1,Offer,TODC-12502-$25,,25,,Pending
12502,,Friday,Late night,40,12,203.0,16.92,Offer,TODC-12502-$25,,25,,Pending
12502,,Saturday,Overnight,6,2,35.0,17.5,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Saturday,Breakfast,13,15,234.0,15.6,Offer,TODC-12502-$20,,20,,Pending
12502,,Saturday,Lunch,20,8,152.0,19.0,Offer,TODC-12502-$25,,25,,Pending
12502,,Saturday,Afternoon,27,7,131.0,18.71,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Saturday,Dinner,34,10,180.0,18.0,Offer,TODC-12502-$25,,25,,Pending
12502,,Saturday,Late night,41,13,214.0,16.46,Offer,TODC-12502-$20,,20,,Pending
12502,,Sunday,Overnight,7,2,41.0,20.5,Offer + Ads,TODC-12502-$25,TODC-ADS-12502,25,3.0,Pending
12502,,Sunday,Breakfast,14,16,264.0,16.5,Offer,TODC-12502-$20,,20,,Pending
12502,,Sunday,Lunch,21,11,190.0,17.27,Offer,TODC-12502-$25,,25,,Pending
12502,,Sunday,Afternoon,28,8,146.0,18.25,Offer,TODC-12502-$25,,25,,Pending
12502,,Sunday,Dinner,35,9,168.0,18.67,Offer,TODC-12502-$25,,25,,Pending
12502,,Sunday,Late night,42,13,219.0,16.85,Offer,TODC-12502-$25,,25,,Pending
12504,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
12504,,Monday,Breakfast,8,7,128.0,18.29,Offer,TODC-12504-$25,,25,,Pending
12504,,Monday,Lunch,15,7,138.0,19.71,Offer,TODC-12504-$25,,25,,Pending
12504,,Monday,Afternoon,22,5,102.0,20.4,Offer + Ads,TODC-12504-$25,TODC-ADS-12504,25,3.0,Pending
12504,,Monday,Dinner,29,7,131.0,18.71,Offer,TODC-12504-$25,,25,,Pending
12504,,Monday,Late night,36,9,172.0,19.11,Offer,TODC-12504-$25,,25,,Pending
12504,,Tuesday,Overnight,2,1,26.0,26.0,Offer + Ads,TODC-12504-$35,TODC-ADS-12504,35,3.0,Pending
12504,,Tuesday,Breakfast,9,6,97.0,16.17,Offer,TODC-12504-$20,,20,,Pending
12504,,Tuesday,Lunch,16,5,103.0,20.6,Offer + Ads,TODC-12504-$25,TODC-ADS-12504,25,3.0,Pending
12504,,Tuesday,Afternoon,23,5,118.0,23.6,Offer + Ads,TODC-12504-$30,TODC-ADS-12504,30,3.0,Pending
12504,,Tuesday,Dinner,30,7,146.0,20.86,Offer,TODC-12504-$30,,30,,Pending
12504,,Tuesday,Late night,37,9,171.0,19.0,Offer,TODC-12504-$25,,25,,Pending
12504,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
12504,,Wednesday,Breakfast,10,6,100.0,16.67,Offer,TODC-12504-$25,,25,,Pending
12504,,Wednesday,Lunch,17,6,119.0,19.83,Offer,TODC-12504-$25,,25,,Pending
12504,,Wednesday,Afternoon,24,5,85.0,17.0,Offer + Ads,TODC-12504-$25,TODC-ADS-12504,25,3.0,Pending
12504,,Wednesday,Dinner,31,7,153.0,21.86,Offer,TODC-12504-$30,,30,,Pending
12504,,Wednesday,Late night,38,11,203.0,18.45,Offer,TODC-12504-$25,,25,,Pending
12504,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
12504,,Thursday,Breakfast,11,7,119.0,17.0,Offer,TODC-12504-$25,,25,,Pending
12504,,Thursday,Lunch,18,7,137.0,19.57,Offer,TODC-12504-$25,,25,,Pending
12504,,Thursday,Afternoon,25,6,132.0,22.0,Offer,TODC-12504-$30,,30,,Pending
