Store ID,Store Name,Day,Slot,Slot Tag,Orders,Sales,AOV,Campaign Type,Campaign Name,Ads Campaign Name,Minimum Subtotal,Minimum Bid,Status
11608,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
11608,,Monday,Breakfast,8,7,103.0,14.71,Offer,TODC-11608-$20,,20,,Pending
11608,,Monday,Lunch,15,6,107.0,17.88,Offer,TODC-11608-$25,,25,,Pending
11608,,Monday,Afternoon,22,6,109.0,18.17,Offer,TODC-11608-$25,,25,,Pending
11608,,Monday,Dinner,29,5,103.0,20.59,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Monday,Late night,36,4,81.0,20.33,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Tuesday,Overnight,2,0,0.0,0.0,None,no campaign,,,,
11608,,Tuesday,Breakfast,9,8,125.0,15.65,Offer,TODC-11608-$20,,20,,Pending
11608,,Tuesday,Lunch,16,5,96.0,19.19,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Tuesday,Afternoon,23,6,105.0,17.48,Offer,TODC-11608-$25,,25,,Pending
11608,,Tuesday,Dinner,30,6,114.0,19.08,Offer,TODC-11608-$25,,25,,Pending
11608,,Tuesday,Late night,37,6,98.0,16.36,Offer,TODC-11608-$20,,20,,Pending
11608,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
11608,,Wednesday,Breakfast,10,9,142.0,15.73,Offer,TODC-11608-$20,,20,,Pending
11608,,Wednesday,Lunch,17,6,105.0,17.52,Offer,TODC-11608-$25,,25,,Pending
11608,,Wednesday,Afternoon,24,7,129.0,18.49,Offer,TODC-11608-$25,,25,,Pending
11608,,Wednesday,Dinner,31,7,144.0,20.61,Offer,TODC-11608-$25,,25,,Pending
11608,,Wednesday,Late night,38,5,94.0,18.82,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
11608,,Thursday,Breakfast,11,9,137.0,15.22,Offer,TODC-11608-$20,,20,,Pending
11608,,Thursday,Lunch,18,7,124.0,17.68,Offer,TODC-11608-$25,,25,,Pending
11608,,Thursday,Afternoon,25,6,114.0,19.02,Offer,TODC-11608-$25,,25,,Pending
11608,,Thursday,Dinner,32,9,187.0,20.78,Offer,TODC-11608-$25,,25,,Pending
11608,,Thursday,Late night,39,5,94.0,18.86,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Friday,Overnight,5,0,0.0,0.0,None,no campaign,,,,
11608,,Friday,Breakfast,12,10,161.0,16.08,Offer,TODC-11608-$20,,20,,Pending
11608,,Friday,Lunch,19,7,140.0,19.97,Offer,TODC-11608-$25,,25,,Pending
11608,,Friday,Afternoon,26,5,96.0,19.21,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Friday,Dinner,33,10,217.0,21.74,Offer,TODC-11608-$30,,30,,Pending
11608,,Friday,Late night,40,6,117.0,19.49,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Saturday,Overnight,6,0,0.0,0.0,None,no campaign,,,,
11608,,Saturday,Breakfast,13,9,177.0,19.72,Offer,TODC-11608-$25,,25,,Pending
11608,,Saturday,Lunch,20,8,176.0,22.03,Offer,TODC-11608-$30,,30,,Pending
11608,,Saturday,Afternoon,27,4,67.0,16.78,Offer + Ads,TODC-11608-$25,TODC-ADS-11608,25,3.0,Pending
11608,,Saturday,Dinner,34,9,193.0,21.41,Offer,TODC-11608-$30,,30,,Pending
11608,,Saturday,Late night,41,8,144.0,18.06,Offer,TODC-11608-$25,,25,,Pending
11608,,Sunday,Overnight,7,0,0.0,0.0,None,no campaign,,,,
11608,,Sunday,Breakfast,14,10,208.0,20.81,Offer,TODC-11608-$25,,25,,Pending
11608,,Sunday,Lunch,21,8,170.0,21.2,Offer,TODC-11608-$30,,30,,Pending
11608,,Sunday,Afternoon,28,6,110.0,18.39,Offer,TODC-11608-$25,,25,,Pending
11608,,Sunday,Dinner,35,8,172.0,21.47,Offer,TODC-11608-$30,,30,,Pending
11608,,Sunday,Late night,42,6,110.0,18.34,Offer,TODC-11608-$25,,25,,Pending
3922,,Monday,Overnight,1,1,26.0,25.91,Offer + Ads,TODC-3922-$35,TODC-ADS-3922,35,3.0,Pending
