Store ID,Store Name,Day,Slot,Slot Tag,Orders,Sales,AOV,Campaign Type,Campaign Name,Ads Campaign Name,Minimum Subtotal,Minimum Bid,Status
11269,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
11269,,Monday,Breakfast,8,6,111.0,18.5,Offer,TODC-11269-$25,,25,,Pending
11269,,Monday,Lunch,15,4,97.0,24.25,Offer + Ads,TODC-11269-$30,TODC-ADS-11269,30,3.0,Pending
11269,,Monday,Afternoon,22,4,69.0,17.25,Offer + Ads,TODC-11269-$25,TODC-ADS-11269,25,3.0,Pending
11269,,Monday,Dinner,29,6,147.0,24.5,Offer,TODC-11269-$30,,30,,Pending
11269,,Monday,Late night,36,5,85.0,17.0,Offer,TODC-11269-$25,,25,,Pending
11269,,Tuesday,Overnight,2,0,0.0,0.0,None,no campaign,,,,
11269,,Tuesday,Breakfast,9,10,190.0,19.0,Offer,TODC-11269-$25,,25,,Pending
11269,,Tuesday,Lunch,16,5,102.0,20.4,Offer,TODC-11269-$25,,25,,Pending
11269,,Tuesday,Afternoon,23,4,81.0,20.25,Offer + Ads,TODC-11269-$25,TODC-ADS-11269,25,3.0,Pending
11269,,Tuesday,Dinner,30,5,122.0,24.4,Offer,TODC-11269-$30,,30,,Pending
11269,,Tuesday,Late night,37,5,103.0,20.6,Offer,TODC-11269-$25,,25,,Pending
11269,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
11269,,Wednesday,Breakfast,10,9,157.0,17.44,Offer,TODC-11269-$25,,25,,Pending
11269,,Wednesday,Lunch,17,5,106.0,21.2,Offer,TODC-11269-$30,,30,,Pending
11269,,Wednesday,Afternoon,24,4,88.0,22.0,Offer + Ads,TODC-11269-$30,TODC-ADS-11269,30,3.0,Pending
11269,,Wednesday,Dinner,31,5,101.0,20.2,Offer,TODC-11269-$25,,25,,Pending
11269,,Wednesday,Late night,38,5,93.0,18.6,Offer,TODC-11269-$25,,25,,Pending
11269,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
11269,,Thursday,Breakfast,11,9,154.0,17.11,Offer,TODC-11269-$25,,25,,Pending
11269,,Thursday,Lunch,18,5,95.0,19.0,Offer,TODC-11269-$25,,25,,Pending
11269,,Thursday,Afternoon,25,4,79.0,19.75,Offer + Ads,TODC-11269-$25,TODC-ADS-11269,25,3.0,Pending
11269,,Thursday,Dinner,32,7,159.0,22.71,Offer,TODC-11269-$30,,30,,Pending
11269,,Thursday,Late night,39,6,105.0,17.5,Offer,TODC-11269-$25,,25,,Pending
11269,,Friday,Overnight,5,0,0.0,0.0,None,no campaign,,,,
11269,,Friday,Breakfast,12,10,193.0,19.3,Offer,TODC-11269-$25,,25,,Pending
11269,,Friday,Lunch,19,5,101.0,20.2,Offer,TODC-11269-$25,,25,,Pending
11269,,Friday,Afternoon,26,5,92.0,18.4,Offer,TODC-11269-$25,,25,,Pending
11269,,Friday,Dinner,33,6,135.0,22.5,Offer,TODC-11269-$30,,30,,Pending
11269,,Friday,Late night,40,5,97.0,19.4,Offer,TODC-11269-$25,,25,,Pending
11269,,Saturday,Overnight,6,0,0.0,0.0,None,no campaign,,,,
11269,,Saturday,Breakfast,13,14,318.0,22.71,Offer,TODC-11269-$30,,30,,Pending
11269,,Saturday,Lunch,20,6,141.0,23.5,Offer,TODC-11269-$30,,30,,Pending
11269,,Saturday,Afternoon,27,4,88.0,22.0,Offer + Ads,TODC-11269-$30,TODC-ADS-11269,30,3.0,Pending
11269,,Saturday,Dinner,34,6,127.0,21.17,Offer,TODC-11269-$30,,30,,Pending
11269,,Saturday,Late night,41,4,84.0,21.0,Offer + Ads,TODC-11269-$30,TODC-ADS-11269,30,3.0,Pending
11269,,Sunday,Overnight,7,0,0.0,0.0,None,no campaign,,,,
11269,,Sunday,Breakfast,14,10,210.0,21.0,Offer,TODC-11269-$30,,30,,Pending
11269,,Sunday,Lunch,21,6,151.0,25.17,Offer,TODC-11269-$35,,35,,Pending
11269,,Sunday,Afternoon,28,4,98.0,24.5,Offer + Ads,TODC-11269-$30,TODC-ADS-11269,30,3.0,Pending
11269,,Sunday,Dinner,35,6,120.0,20.0,Offer,TODC-11269-$25,,25,,Pending
11269,,Sunday,Late night,42,6,135.0,22.5,Offer,TODC-11269-$30,,30,,Pending
15567,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
15567,,Monday,Breakfast,8,6,106.0,17.67,Offer,TODC-15567-$25,,25,,Pending
15567,,Monday,Lunch,15,4,83.0,20.75,Offer,TODC-15567-$25,,25,,Pending
15567,,Monday,Afternoon,22,4,72.0,18.0,Offer,TODC-15567-$25,,25,,Pending
15567,,Monday,Dinner,29,5,111.0,22.2,Offer,TODC-15567-$30,,30,,Pending
15567,,Monday,Late night,36,2,40.0,20.0,Offer + Ads,TODC-15567-$25,TODC-ADS-15567,25,3.0,Pending
15567,,Tuesday,Overnight,2,0,0.0,0.0,None,no campaign,,,,
15567,,Tuesday,Breakfast,9,6,114.0,19.0,Offer,TODC-15567-$25,,25,,Pending
15567,,Tuesday,Lunch,16,4,76.0,19.0,Offer,TODC-15567-$25,,25,,Pending
15567,,Tuesday,Afternoon,23,4,76.0,19.0,Offer,TODC-15567-$25,,25,,Pending
15567,,Tuesday,Dinner,30,4,95.0,23.75,Offer,TODC-15567-$30,,30,,Pending
15567,,Tuesday,Late night,37,3,58.0,19.33,Offer,TODC-15567-$25,,25,,Pending
15567,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
