Store ID,Store Name,Day,Slot,Slot Tag,Orders,Sales,AOV,Campaign Type,Campaign Name,Ads Campaign Name,Minimum Subtotal,Minimum Bid,Status
10985,,Monday,Overnight,1,2,32.0,16.0,Offer + Ads,TODC-10985-$20,TODC-ADS-10985,20,3.0,Pending
10985,,Monday,Breakfast,8,10,187.0,18.7,Offer,TODC-10985-$25,,25,,Pending
10985,,Monday,Lunch,15,7,162.0,23.14,Offer,TODC-10985-$30,,30,,Pending
10985,,Monday,Afternoon,22,5,114.0,22.8,Offer + Ads,TODC-10985-$30,TODC-ADS-10985,30,3.0,Pending
10985,,Monday,Dinner,29,6,152.0,25.33,Offer,TODC-10985-$35,,35,,Pending
10985,,Monday,Late night,36,10,220.0,22.0,Offer,TODC-10985-$30,,30,,Pending
10985,,Tuesday,Overnight,2,2,47.0,23.5,Offer + Ads,TODC-10985-$30,TODC-ADS-10985,30,3.0,Pending
10985,,Tuesday,Breakfast,9,10,186.0,18.6,Offer,TODC-10985-$25,,25,,Pending
10985,,Tuesday,Lunch,16,7,137.0,19.57,Offer,TODC-10985-$25,,25,,Pending
10985,,Tuesday,Afternoon,23,6,125.0,20.83,Offer,TODC-10985-$25,,25,,Pending
10985,,Tuesday,Dinner,30,10,222.0,22.2,Offer,TODC-10985-$30,,30,,Pending
10985,,Tuesday,Late night,37,10,209.0,20.9,Offer,TODC-10985-$30,,30,,Pending
10985,,Wednesday,Overnight,3,2,43.0,21.5,Offer + Ads,TODC-10985-$30,TODC-ADS-10985,30,3.0,Pending
10985,,Wednesday,Breakfast,10,8,145.0,18.12,Offer,TODC-10985-$25,,25,,Pending
10985,,Wednesday,Lunch,17,8,176.0,22.0,Offer,TODC-10985-$30,,30,,Pending
10985,,Wednesday,Afternoon,24,4,111.0,27.75,Offer + Ads,TODC-10985-$35,TODC-ADS-10985,35,3.0,Pending
10985,,Wednesday,Dinner,31,9,225.0,25.0,Offer,TODC-10985-$30,,30,,Pending
10985,,Wednesday,Late night,38,11,263.0,23.91,Offer,TODC-10985-$30,,30,,Pending
10985,,Thursday,Overnight,4,2,42.0,21.0,Offer + Ads,TODC-10985-$30,TODC-ADS-10985,30,3.0,Pending
10985,,Thursday,Breakfast,11,8,138.0,17.25,Offer,TODC-10985-$25,,25,,Pending
10985,,Thursday,Lunch,18,9,217.0,24.11,Offer,TODC-10985-$30,,30,,Pending
10985,,Thursday,Afternoon,25,5,121.0,24.2,Offer,TODC-10985-$30,,30,,Pending
10985,,Thursday,Dinner,32,9,184.0,20.44,Offer,TODC-10985-$25,,25,,Pending
10985,,Thursday,Late night,39,12,260.0,21.67,Offer,TODC-10985-$30,,30,,Pending
10985,,Friday,Overnight,5,2,44.0,22.0,Offer + Ads,TODC-10985-$30,TODC-ADS-10985,30,3.0,Pending
10985,,Friday,Breakfast,12,7,151.0,21.57,Offer,TODC-10985-$30,,30,,Pending
10985,,Friday,Lunch,19,8,177.0,22.12,Offer,TODC-10985-$30,,30,,Pending
10985,,Friday,Afternoon,26,5,127.0,25.4,Offer + Ads,TODC-10985-$35,TODC-ADS-10985,35,3.0,Pending
10985,,Friday,Dinner,33,9,191.0,21.22,Offer,TODC-10985-$30,,30,,Pending
10985,,Friday,Late night,40,11,265.0,24.09,Offer,TODC-10985-$30,,30,,Pending
10985,,Saturday,Overnight,6,15,412.0,27.47,Offer,TODC-10985-$35,,35,,Pending
10985,,Saturday,Breakfast,13,8,162.0,20.25,Offer,TODC-10985-$25,,25,,Pending
10985,,Saturday,Lunch,20,6,148.0,24.67,Offer,TODC-10985-$30,,30,,Pending
10985,,Saturday,Afternoon,27,5,117.0,23.4,Offer,TODC-10985-$30,,30,,Pending
10985,,Saturday,Dinner,34,7,147.0,21.0,Offer,TODC-10985-$30,,30,,Pending
10985,,Saturday,Late night,41,11,274.0,24.91,Offer,TODC-10985-$30,,30,,Pending
10985,,Sunday,Overnight,7,17,445.0,26.18,Offer,TODC-10985-$35,,35,,Pending
10985,,Sunday,Breakfast,14,11,228.0,20.73,Offer,TODC-10985-$25,,25,,Pending
10985,,Sunday,Lunch,21,7,167.0,23.86,Offer,TODC-10985-$30,,30,,Pending
10985,,Sunday,Afternoon,28,6,141.0,23.5,Offer,TODC-10985-$30,,30,,Pending
10985,,Sunday,Dinner,35,9,225.0,25.0,Offer,TODC-10985-$30,,30,,Pending
10985,,Sunday,Late night,42,8,190.0,23.75,Offer,TODC-10985-$30,,30,,Pending
