Store ID,Store Name,Day,Slot,Slot Tag,Orders,Sales,AOV,Campaign Type,Campaign Name,Ads Campaign Name,Minimum Subtotal,Minimum Bid,Status
11366,,Monday,Overnight,1,0,0.0,0.0,None,no campaign,,,,
11366,,Monday,Breakfast,8,15,334.0,22.27,Offer,TODC-11366-$30,,30,,Pending
11366,,Monday,Lunch,15,7,149.0,21.29,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Monday,Afternoon,22,5,108.0,21.6,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Monday,Dinner,29,8,172.0,21.5,Offer,TODC-11366-$30,,30,,Pending
11366,,Monday,Late night,36,7,151.0,21.57,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Tuesday,Overnight,2,0,0.0,0.0,None,no campaign,,,,
11366,,Tuesday,Breakfast,9,14,304.0,21.71,Offer,TODC-11366-$30,,30,,Pending
11366,,Tuesday,Lunch,16,8,179.0,22.38,Offer,TODC-11366-$30,,30,,Pending
11366,,Tuesday,Afternoon,23,7,160.0,22.86,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Tuesday,Dinner,30,7,176.0,25.14,Offer + Ads,TODC-11366-$35,TODC-ADS-11366,35,3.0,Pending
11366,,Tuesday,Late night,37,7,150.0,21.43,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Wednesday,Overnight,3,0,0.0,0.0,None,no campaign,,,,
11366,,Wednesday,Breakfast,10,18,395.0,21.94,Offer,TODC-11366-$30,,30,,Pending
11366,,Wednesday,Lunch,17,8,184.0,23.0,Offer,TODC-11366-$30,,30,,Pending
11366,,Wednesday,Afternoon,24,7,170.0,24.29,Offer,TODC-11366-$30,,30,,Pending
11366,,Wednesday,Dinner,31,11,268.0,24.36,Offer,TODC-11366-$30,,30,,Pending
11366,,Wednesday,Late night,38,9,207.0,23.0,Offer,TODC-11366-$30,,30,,Pending
11366,,Thursday,Overnight,4,0,0.0,0.0,None,no campaign,,,,
11366,,Thursday,Breakfast,11,19,412.0,21.68,Offer,TODC-11366-$30,,30,,Pending
11366,,Thursday,Lunch,18,8,191.0,23.88,Offer,TODC-11366-$30,,30,,Pending
11366,,Thursday,Afternoon,25,8,172.0,21.5,Offer,TODC-11366-$30,,30,,Pending
11366,,Thursday,Dinner,32,9,198.0,22.0,Offer,TODC-11366-$30,,30,,Pending
11366,,Thursday,Late night,39,9,205.0,22.78,Offer,TODC-11366-$30,,30,,Pending
11366,,Friday,Overnight,5,0,0.0,0.0,None,no campaign,,,,
11366,,Friday,Breakfast,12,21,459.0,21.86,Offer,TODC-11366-$30,,30,,Pending
11366,,Friday,Lunch,19,10,238.0,23.8,Offer,TODC-11366-$30,,30,,Pending
11366,,Friday,Afternoon,26,7,162.0,23.14,Offer + Ads,TODC-11366-$30,TODC-ADS-11366,30,3.0,Pending
11366,,Friday,Dinner,33,9,218.0,24.22,Offer,TODC-11366-$30,,30,,Pending
11366,,Friday,Late night,40,8,179.0,22.38,Offer,TODC-11366-$30,,30,,Pending
11366,,Saturday,Overnight,6,0,0.0,0.0,None,no campaign,,,,
11366,,Saturday,Breakfast,13,19,451.0,23.74,Offer,TODC-11366-$30,,30,,Pending
11366,,Saturday,Lunch,20,11,268.0,24.36,Offer,TODC-11366-$30,,30,,Pending
11366,,Saturday,Afternoon,27,7,144.0,20.57,Offer + Ads,TODC-11366-$25,TODC-ADS-11366,25,3.0,Pending
11366,,Saturday,Dinner,34,10,233.0,23.3,Offer,TODC-11366-$30,,30,,Pending
11366,,Saturday,Late night,41,9,214.0,23.78,Offer,TODC-11366-$30,,30,,Pending
11366,,Sunday,Overnight,7,0,0.0,0.0,None,no campaign,,,,
11366,,Sunday,Breakfast,14,16,401.0,25.06,Offer,TODC-11366-$35,,35,,Pending
11366,,Sunday,Lunch,21,9,204.0,22.67,Offer,TODC-11366-$30,,30,,Pending
11366,,Sunday,Afternoon,28,8,207.0,25.88,Offer,TODC-11366-$35,,35,,Pending
11366,,Sunday,Dinner,35,8,186.0,23.25,Offer,TODC-11366-$30,,30,,Pending
11366,,Sunday,Late night,42,8,208.0,26.0,Offer,TODC-11366-$35,,35,,Pending
1568,,Monday,Overnight,1,18,398.0,22.11,Offer,TODC-1568-$30,,30,,Pending
1568,,Monday,Breakfast,8,18,355.0,19.72,Offer,TODC-1568-$25,,25,,Pending
1568,,Monday,Lunch,15,10,196.0,19.6,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Monday,Afternoon,22,9,185.0,20.56,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Monday,Dinner,29,13,300.0,23.08,Offer,TODC-1568-$30,,30,,Pending
1568,,Monday,Late night,36,21,433.0,20.62,Offer,TODC-1568-$25,,25,,Pending
1568,,Tuesday,Overnight,2,15,297.0,19.8,Offer,TODC-1568-$25,,25,,Pending
1568,,Tuesday,Breakfast,9,22,454.0,20.64,Offer,TODC-1568-$25,,25,,Pending
1568,,Tuesday,Lunch,16,10,197.0,19.7,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Tuesday,Afternoon,23,8,167.0,20.88,Offer + Ads,TODC-1568-$30,TODC-ADS-1568,30,3.0,Pending
1568,,Tuesday,Dinner,30,11,239.0,21.73,Offer,TODC-1568-$30,,30,,Pending
1568,,Tuesday,Late night,37,17,323.0,19.0,Offer,TODC-1568-$25,,25,,Pending
1568,,Wednesday,Overnight,3,17,387.0,22.76,Offer,TODC-1568-$30,,30,,Pending
1568,,Wednesday,Breakfast,10,20,411.0,20.55,Offer,TODC-1568-$25,,25,,Pending
1568,,Wednesday,Lunch,17,11,206.0,18.73,Offer,TODC-1568-$25,,25,,Pending
1568,,Wednesday,Afternoon,24,9,184.0,20.44,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Wednesday,Dinner,31,15,325.0,21.67,Offer,TODC-1568-$30,,30,,Pending
1568,,Wednesday,Late night,38,20,413.0,20.65,Offer,TODC-1568-$25,,25,,Pending
1568,,Thursday,Overnight,4,19,396.0,20.84,Offer,TODC-1568-$30,,30,,Pending
1568,,Thursday,Breakfast,11,24,482.0,20.08,Offer,TODC-1568-$25,,25,,Pending
1568,,Thursday,Lunch,18,11,209.0,19.0,Offer,TODC-1568-$25,,25,,Pending
1568,,Thursday,Afternoon,25,10,199.0,19.9,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Thursday,Dinner,32,13,278.0,21.38,Offer,TODC-1568-$30,,30,,Pending
1568,,Thursday,Late night,39,22,471.0,21.41,Offer,TODC-1568-$30,,30,,Pending
1568,,Friday,Overnight,5,19,413.0,21.74,Offer,TODC-1568-$30,,30,,Pending
1568,,Friday,Breakfast,12,26,529.0,20.35,Offer,TODC-1568-$25,,25,,Pending
1568,,Friday,Lunch,19,12,250.0,20.83,Offer,TODC-1568-$25,,25,,Pending
1568,,Friday,Afternoon,26,11,222.0,20.18,Offer + Ads,TODC-1568-$25,TODC-ADS-1568,25,3.0,Pending
1568,,Friday,Dinner,33,15,324.0,21.6,Offer,TODC-1568-$30,,30,,Pending
1568,,Friday,Late night,40,22,478.0,21.73,Offer,TODC-1568-$30,,30,,Pending
1568,,Saturday,Overnight,6,24,576.0,24.0,Offer,TODC-1568-$30,,30,,Pending
1568,,Saturday,Breakfast,13,31,691.0,22.29,Offer,TODC-1568-$30,,30,,Pending
1568,,Saturday,Lunch,20,15,314.0,20.93,Offer,TODC-1568-$30,,30,,Pending
1568,,Saturday,Afternoon,27,11,219.0,19.91,Offer,TODC-1568-$25,,25,,Pending
1568,,Saturday,Dinner,34,12,261.0,21.75,Offer,TODC-1568-$30,,30,,Pending
1568,,Saturday,Late night,41,21,483.0,23.0,Offer,TODC-1568-$30,,30,,Pending
1568,,Sunday,Overnight,7,24,579.0,24.12,Offer,TODC-1568-$30,,30,,Pending
1568,,Sunday,Breakfast,14,29,602.0,20.76,Offer,TODC-1568-$25,,25,,Pending
1568,,Sunday,Lunch,21,14,309.0,22.07,Offer,TODC-1568-$30,,30,,Pending
