Operator,Merchant Store ID,Month,Week,Date,Day,Day part,Sales,Sales WoW Δ,Sales WoW %,Payouts,Payouts WoW Δ,Payouts WoW %,Mkt Spend,Mkt Spend WoW Δ,Mkt Spend WoW %,Customer Discounts,Customer Discounts WoW Δ,Customer Discounts WoW %,Orders,Orders WoW Δ,Orders WoW %,GC $0-15,GC $0-15 WoW Δ,GC $0-15 WoW %,GC $15-20,GC $15-20 WoW Δ,GC $15-20 WoW %,GC $20-25,GC $20-25 WoW Δ,GC $20-25 WoW %,GC $25-30,GC $25-30 WoW Δ,GC $25-30 WoW %,GC $30-$35,GC $30-$35 WoW Δ,GC $30-$35 WoW %,GC $35-$40,GC $35-$40 WoW Δ,GC $35-$40 WoW %,GC $40+,GC $40+ WoW Δ,GC $40+ WoW %,Profitability_%,Profitability_% WoW Δ,Profitability_% WoW %,AOV,AOV WoW Δ,AOV WoW %,Total Orders,Total Orders WoW Δ,Total Orders WoW %,Orders Inf by Promo,Orders Inf by Promo WoW Δ,Orders Inf by Promo WoW %,Orders inf by Ads,Orders inf by Ads WoW Δ,Orders inf by Ads WoW %,Orders inf by both,Orders inf by both WoW Δ,Orders inf by both WoW %,Organic Orders,Organic Orders WoW Δ,Organic Orders WoW %,reco_kill_ads,reco_lower_basket,reco_kill_campaign,reco_campaign_ok,target_gc_bucket,final_recommendation,recommendation_priority,Recommendation
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-29,Friday,Afternoon,61.0,20.3,49.9,59.9,25.8,75.7,0.0,0.0,,-5.0,0.0,0.0,3.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,,0.0,0.0,,98.2,14.4,17.2,20.3,0.0,0.0,3.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,1.0,100.0,N,N,N,Y,GC $25-30,Continue,Info,"Continue, campaign working fine"
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-29,Friday,Breakfast,89.3,-5.2,-5.5,78.4,7.5,10.6,0.0,0.0,,-7.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,50.0,0.0,-2.0,-100.0,1.0,-1.0,-50.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,,87.8,12.8,17.1,17.9,-1.0,-5.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,4.0,0.0,0.0,N,Y,Y,N,GC $20-25,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $20-25 WoW Δ < 0)
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-29,Friday,Dinner,354.7,102.7,40.8,342.8,127.2,59.0,-4.0,-1.0,-33.3,-20.0,-5.0,-33.3,15.0,5.0,50.0,5.0,2.0,66.7,1.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,-33.3,1.0,0.0,0.0,2.0,2.0,,2.0,1.0,100.0,96.6,11.1,13.0,23.6,-1.6,-6.3,15.0,5.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,10.0,4.0,66.7,N,Y,Y,N,GC $25-30,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $25-30 WoW Δ < 0)
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-29,Friday,Late night,144.3,86.1,147.9,129.8,80.7,164.4,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,1.0,25.0,0.0,-2.0,-100.0,0.0,-1.0,-100.0,3.0,2.0,200.0,0.0,0.0,,0.0,0.0,,1.0,1.0,,1.0,1.0,,89.9,5.4,6.4,28.9,14.4,99.3,5.0,1.0,25.0,1.0,1.0,,1.0,1.0,,0.0,-1.0,-100.0,3.0,0.0,0.0,N,N,N,N,GC $30-35,No action,None,
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-29,Friday,Lunch,43.1,-178.8,-80.6,41.4,-149.3,-78.3,0.0,3.0,100.0,0.0,7.9,100.0,2.0,-7.0,-77.8,0.0,-2.0,-100.0,1.0,-3.0,-75.0,0.0,-2.0,-100.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,96.1,10.2,11.9,21.5,-3.2,-13.0,2.0,-7.0,-77.8,0.0,-1.0,-100.0,0.0,-1.0,-100.0,0.0,0.0,,2.0,-5.0,-71.4,N,Y,N,Y,GC $25-30,Adjust promo,Low,"Adjust promo to lower basket size; Continue, campaign working fine"
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-25,Monday,Afternoon,49.9,19.7,65.2,42.5,-2.5,-5.6,0.0,0.0,,-5.0,-5.0,,2.0,-1.0,-33.3,0.0,-2.0,-100.0,0.0,-1.0,-100.0,1.0,1.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,85.2,-64.1,-42.9,25.0,14.9,147.5,2.0,-1.0,-33.3,1.0,1.0,,0.0,0.0,,0.0,0.0,,1.0,-2.0,-66.7,N,N,N,Y,GC $25-30,Continue,Info,"Continue, campaign working fine"
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-25,Monday,Breakfast,158.8,-14.7,-8.5,137.9,-10.0,-6.8,-6.0,1.0,14.3,-10.0,2.0,16.7,6.0,-1.0,-14.3,0.0,-2.0,-100.0,0.0,-1.0,-100.0,3.0,2.0,200.0,0.0,-1.0,-100.0,3.0,2.0,200.0,0.0,0.0,,0.0,-1.0,-100.0,86.9,1.6,1.9,26.5,1.7,6.9,6.0,-1.0,-14.3,1.0,1.0,,1.0,0.0,0.0,1.0,-1.0,-50.0,3.0,-1.0,-25.0,N,N,N,N,GC $30-35,No action,None,
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-25,Monday,Dinner,60.5,-129.9,-68.2,57.6,-106.2,-64.8,0.0,6.0,100.0,0.0,15.0,100.0,3.0,-3.0,-50.0,1.0,1.0,,1.0,0.0,0.0,0.0,-2.0,-100.0,0.0,-1.0,-100.0,1.0,1.0,,0.0,0.0,,0.0,-2.0,-100.0,95.2,9.2,10.7,20.2,-11.5,-36.3,3.0,-3.0,-50.0,0.0,-2.0,-100.0,0.0,-1.0,-100.0,0.0,-1.0,-100.0,3.0,1.0,50.0,N,Y,Y,N,GC $25-30,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $25-30 WoW Δ < 0)
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-25,Monday,Late night,58.2,-71.2,-55.0,45.7,-71.5,-61.0,0.0,3.0,100.0,-13.0,-8.0,-160.0,3.0,-3.0,-50.0,1.0,0.0,0.0,0.0,-1.0,-100.0,1.0,-2.0,-66.7,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,78.4,-12.1,-13.4,19.4,-2.2,-10.2,3.0,-3.0,-50.0,3.0,3.0,,0.0,0.0,,0.0,-1.0,-100.0,0.0,-5.0,-100.0,N,Y,Y,N,GC $20-25,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $20-25 WoW Δ < 0)
mcd+jeffreyopsllc@theondemandcompany.com,15272,2026-05,5/25-5/31,2026-05-25,Monday,Lunch,132.9,65.3,96.6,112.6,49.1,77.3,0.0,0.0,,-15.0,-15.0,,5.0,2.0,66.7,1.0,-1.0,-50.0,0.0,-1.0,-100.0,1.0,1.0,,2.0,2.0,,0.0,0.0,,0.0,-1.0,-100.0,1.0,1.0,,84.7,-9.2,-9.8,26.6,4.1,18.2,5.0,2.0,66.7,3.0,3.0,,0.0,0.0,,0.0,0.0,,2.0,-1.0,-33.3,N,N,N,N,GC $30-35,No action,None,
