Merchant Store ID,Day,Day part,Week 1 Sales,Week 2 Sales,Sales Δ,Sales %,Week 1 Payouts,Week 2 Payouts,Payouts Δ,Payouts %,Week 1 Orders,Week 2 Orders,Orders Δ,Orders %,Week 1 AOV,Week 2 AOV,AOV Δ,AOV %
493,Friday,Afternoon,53.0,71.3,18.3,34.5,45.0,57.1,12.1,26.9,3.0,4.0,1.0,33.3,17.67,17.82,0.15,0.8
493,Friday,Breakfast,354.2,301.4,-52.8,-14.9,255.4,285.4,30.0,11.7,22.0,22.0,0.0,0.0,16.1,13.7,-2.4,-14.9
493,Friday,Dinner,271.1,248.0,-23.1,-8.5,209.5,179.1,-30.4,-14.5,15.0,12.0,-3.0,-20.0,18.07,20.67,2.6,14.4
493,Friday,Early morning,667.3,600.5,-66.8,-10.0,584.2,450.6,-133.6,-22.9,49.0,34.0,-15.0,-30.6,13.62,17.66,4.04,29.7
493,Friday,Late night,211.4,316.5,105.1,49.7,169.0,251.2,82.2,48.6,15.0,21.0,6.0,40.0,14.09,15.07,0.98,7.0
493,Friday,Lunch,152.9,88.3,-64.6,-42.2,114.0,75.7,-38.3,-33.6,9.0,6.0,-3.0,-33.3,16.99,14.72,-2.27,-13.4
493,Monday,Afternoon,110.3,17.0,-93.3,-84.6,88.0,14.8,-73.2,-83.2,6.0,1.0,-5.0,-83.3,18.38,17.0,-1.38,-7.5
493,Monday,Breakfast,199.8,111.3,-88.5,-44.3,155.6,96.7,-58.9,-37.9,12.0,9.0,-3.0,-25.0,16.65,12.37,-4.28,-25.7
493,Monday,Dinner,164.3,235.3,71.0,43.2,140.5,172.5,32.0,22.8,9.0,11.0,2.0,22.2,18.26,21.39,3.13,17.1
493,Monday,Early morning,0.0,3.9,3.9,,-9.2,3.4,12.6,137.0,1.0,1.0,0.0,0.0,0.0,3.9,3.9,
493,Monday,Late night,178.7,97.3,-81.4,-45.6,145.2,83.4,-61.8,-42.6,12.0,7.0,-5.0,-41.7,14.89,13.9,-0.99,-6.6
493,Monday,Lunch,187.0,144.1,-42.9,-22.9,141.2,109.2,-32.0,-22.7,11.0,7.0,-4.0,-36.4,17.0,20.59,3.59,21.1
493,Saturday,Afternoon,170.5,77.3,-93.2,-54.7,133.3,62.5,-70.8,-53.1,9.0,4.0,-5.0,-55.6,18.94,19.32,0.38,2.0
493,Saturday,Breakfast,306.0,409.8,103.8,33.9,214.2,309.5,95.3,44.5,16.0,21.0,5.0,31.2,19.12,19.51,0.39,2.0
493,Saturday,Dinner,173.1,167.5,-5.6,-3.2,139.9,118.6,-21.3,-15.2,10.0,9.0,-1.0,-10.0,17.31,18.61,1.3,7.5
493,Saturday,Early morning,776.6,611.5,-165.1,-21.3,613.1,482.5,-130.6,-21.3,39.0,33.0,-6.0,-15.4,19.91,18.53,-1.38,-6.9
493,Saturday,Late night,276.9,290.1,13.2,4.8,212.6,225.7,13.1,6.2,15.0,17.0,2.0,13.3,18.46,17.06,-1.4,-7.6
493,Saturday,Lunch,244.3,211.7,-32.6,-13.3,175.5,161.1,-14.4,-8.2,11.0,10.0,-1.0,-9.1,22.21,21.17,-1.04,-4.7
493,Sunday,Afternoon,194.2,137.3,-56.9,-29.3,146.7,106.4,-40.3,-27.5,8.0,8.0,0.0,0.0,24.27,17.16,-7.11,-29.3
493,Sunday,Breakfast,486.6,380.0,-106.6,-21.9,367.4,287.0,-80.4,-21.9,21.0,20.0,-1.0,-4.8,23.17,19.0,-4.17,-18.0
493,Sunday,Dinner,64.6,117.9,53.3,82.5,51.7,80.6,28.9,55.9,4.0,6.0,2.0,50.0,16.15,19.65,3.5,21.7
493,Sunday,Early morning,553.2,678.4,125.2,22.6,393.2,484.3,91.1,23.2,29.0,32.0,3.0,10.3,19.08,21.2,2.12,11.1
493,Sunday,Late night,238.4,252.5,14.1,5.9,182.9,190.3,7.4,4.0,12.0,15.0,3.0,25.0,19.87,16.83,-3.04,-15.3
493,Sunday,Lunch,237.4,117.9,-119.5,-50.3,194.6,95.1,-99.5,-51.1,11.0,6.0,-5.0,-45.5,21.58,19.65,-1.93,-8.9
493,Thursday,Afternoon,148.8,79.7,-69.1,-46.4,107.4,61.9,-45.5,-42.4,4.0,3.0,-1.0,-25.0,37.2,26.57,-10.63,-28.6
493,Thursday,Breakfast,94.6,275.2,180.6,190.9,73.7,206.5,132.8,180.2,6.0,16.0,10.0,166.7,15.77,17.2,1.43,9.1
493,Thursday,Dinner,364.3,308.8,-55.5,-15.2,290.3,223.2,-67.1,-23.1,17.0,11.0,-6.0,-35.3,21.43,28.07,6.64,31.0
493,Thursday,Early morning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,Thursday,Late night,351.2,234.6,-116.6,-33.2,273.4,194.2,-79.2,-29.0,18.0,14.0,-4.0,-22.2,19.51,16.76,-2.75,-14.1
493,Thursday,Lunch,60.9,259.9,199.0,326.8,52.2,208.3,156.1,299.0,3.0,16.0,13.0,433.3,20.3,16.24,-4.06,-20.0
493,Tuesday,Afternoon,21.4,252.6,231.2,1080.4,18.7,170.5,151.8,811.8,1.0,11.0,10.0,1000.0,21.4,22.96,1.56,7.3
493,Tuesday,Breakfast,140.1,130.3,-9.8,-7.0,100.3,107.5,7.2,7.2,6.0,8.0,2.0,33.3,23.35,16.29,-7.06,-30.2
493,Tuesday,Dinner,150.2,142.0,-8.2,-5.5,122.5,110.0,-12.5,-10.2,8.0,9.0,1.0,12.5,18.77,15.78,-2.99,-15.9
493,Tuesday,Early morning,0.0,0.0,0.0,0.0,-10.9,0.0,10.9,100.0,3.0,0.0,-3.0,-100.0,0.0,0.0,0.0,0.0
493,Tuesday,Late night,124.7,173.7,49.0,39.3,91.6,124.8,33.2,36.2,8.0,8.0,0.0,0.0,15.59,21.71,6.12,39.3
493,Tuesday,Lunch,118.0,95.0,-23.0,-19.5,90.2,87.1,-3.1,-3.4,8.0,5.0,-3.0,-37.5,14.75,19.0,4.25,28.8
493,Wednesday,Afternoon,78.1,66.6,-11.5,-14.7,62.5,53.2,-9.3,-14.9,5.0,5.0,0.0,0.0,15.62,13.32,-2.3,-14.7
493,Wednesday,Breakfast,66.2,272.9,206.7,312.2,56.2,209.2,153.0,272.2,5.0,12.0,7.0,140.0,13.24,22.74,9.5,71.8
493,Wednesday,Dinner,203.5,83.4,-120.1,-59.0,155.2,71.6,-83.6,-53.9,10.0,6.0,-4.0,-40.0,20.35,13.9,-6.45,-31.7
493,Wednesday,Early morning,0.0,0.0,0.0,0.0,0.0,-19.7,-19.7,,0.0,3.0,3.0,,0.0,0.0,0.0,0.0
493,Wednesday,Late night,178.5,245.5,67.0,37.5,184.4,239.3,54.9,29.8,11.0,13.0,2.0,18.2,16.23,18.88,2.65,16.3
493,Wednesday,Lunch,113.8,170.2,56.4,49.6,71.7,115.2,43.5,60.7,6.0,9.0,3.0,50.0,18.97,18.91,-0.06,-0.3
574,Friday,Afternoon,55.9,15.8,-40.1,-71.7,45.1,13.5,-31.6,-70.1,4.0,1.0,-3.0,-75.0,13.97,15.8,1.83,13.1
574,Friday,Breakfast,232.5,144.8,-87.7,-37.7,174.7,112.8,-61.9,-35.4,11.0,6.0,-5.0,-45.5,21.14,24.13,2.99,14.1
574,Friday,Dinner,0.0,72.6,72.6,,0.0,39.1,39.1,,0.0,3.0,3.0,,0.0,24.2,24.2,
574,Friday,Early morning,12.7,0.0,-12.7,-100.0,43.0,0.0,-43.0,-100.0,4.0,0.0,-4.0,-100.0,3.17,0.0,-3.17,-100.0
574,Friday,Late night,79.4,0.0,-79.4,-100.0,55.5,0.0,-55.5,-100.0,3.0,0.0,-3.0,-100.0,26.47,0.0,-26.47,-100.0
574,Friday,Lunch,119.0,45.6,-73.4,-61.7,103.1,28.4,-74.7,-72.5,8.0,4.0,-4.0,-50.0,14.88,11.4,-3.48,-23.4
574,Monday,Afternoon,39.4,26.1,-13.3,-33.8,34.5,17.2,-17.3,-50.1,3.0,1.0,-2.0,-66.7,13.13,26.1,12.97,98.8
574,Monday,Breakfast,237.1,121.5,-115.6,-48.8,181.5,113.7,-67.8,-37.4,11.0,9.0,-2.0,-18.2,21.55,13.5,-8.05,-37.4
574,Monday,Dinner,22.7,54.9,32.2,141.9,19.5,42.3,22.8,116.9,2.0,2.0,0.0,0.0,11.35,27.45,16.1,141.9
574,Monday,Early morning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,Monday,Late night,24.1,45.8,21.7,90.0,21.3,34.3,13.0,61.0,1.0,2.0,1.0,100.0,24.1,22.9,-1.2,-5.0
574,Monday,Lunch,20.0,88.5,68.5,342.5,17.3,64.7,47.4,274.0,2.0,4.0,2.0,100.0,10.0,22.12,12.12,121.2
574,Saturday,Afternoon,27.6,47.2,19.6,71.0,24.1,40.8,16.7,69.3,3.0,3.0,0.0,0.0,9.2,15.73,6.53,71.0
574,Saturday,Breakfast,220.0,213.1,-6.9,-3.1,182.6,162.7,-19.9,-10.9,12.0,10.0,-2.0,-16.7,18.33,21.31,2.98,16.3
574,Saturday,Dinner,34.6,29.6,-5.0,-14.5,29.9,25.8,-4.1,-13.7,3.0,2.0,-1.0,-33.3,11.53,14.8,3.27,28.4
574,Saturday,Early morning,0.0,92.7,92.7,,-3.3,75.8,79.1,2397.0,1.0,5.0,4.0,400.0,0.0,18.54,18.54,
574,Saturday,Late night,50.5,13.2,-37.3,-73.9,39.1,9.2,-29.9,-76.5,2.0,2.0,0.0,0.0,25.25,6.6,-18.65,-73.9
574,Saturday,Lunch,45.9,164.9,119.0,259.3,29.5,136.7,107.2,363.4,2.0,8.0,6.0,300.0,22.95,20.61,-2.34,-10.2
574,Sunday,Afternoon,48.9,10.9,-38.0,-77.7,37.9,9.6,-28.3,-74.7,3.0,1.0,-2.0,-66.7,16.3,10.9,-5.4,-33.1
574,Sunday,Breakfast,184.5,295.3,110.8,60.1,143.3,228.6,85.3,59.5,8.0,13.0,5.0,62.5,23.06,22.72,-0.34,-1.5
574,Sunday,Dinner,155.8,40.2,-115.6,-74.2,124.3,34.9,-89.4,-71.9,7.0,3.0,-4.0,-57.1,22.26,13.4,-8.86,-39.8
574,Sunday,Early morning,61.4,66.9,5.5,9.0,48.5,34.2,-14.3,-29.5,4.0,4.0,0.0,0.0,15.35,16.73,1.38,9.0
574,Sunday,Late night,105.0,18.4,-86.6,-82.5,80.8,2.4,-78.4,-97.0,4.0,1.0,-3.0,-75.0,26.25,18.4,-7.85,-29.9
574,Sunday,Lunch,99.8,148.0,48.2,48.3,76.7,118.1,41.4,54.0,4.0,7.0,3.0,75.0,24.95,21.14,-3.81,-15.3
574,Thursday,Afternoon,0.0,15.0,15.0,,0.0,12.9,12.9,,0.0,1.0,1.0,,0.0,15.0,15.0,
574,Thursday,Breakfast,286.7,148.0,-138.7,-48.4,217.2,109.9,-107.3,-49.4,14.0,7.0,-7.0,-50.0,20.48,21.14,0.66,3.2
574,Thursday,Dinner,98.4,43.4,-55.0,-55.9,79.9,37.8,-42.1,-52.7,5.0,2.0,-3.0,-60.0,19.68,21.7,2.02,10.3
