Merchant Store ID,Day,Day part,Sales,Payouts,Orders,AOV,Week
3206,Monday,Early morning,0.0,0.0,0.0,0.0,5/25-5/31
3206,Monday,Breakfast,391.9,359.8,21.0,18.66,5/25-5/31
3206,Monday,Lunch,141.4,95.4,6.0,23.57,5/25-5/31
3206,Monday,Afternoon,13.2,11.4,1.0,13.2,5/25-5/31
3206,Monday,Dinner,113.0,91.9,6.0,18.83,5/25-5/31
3206,Monday,Late night,327.1,248.0,13.0,25.16,5/25-5/31
3206,Tuesday,Early morning,0.0,-5.6,1.0,0.0,5/25-5/31
3206,Tuesday,Breakfast,168.8,127.8,12.0,14.07,5/25-5/31
3206,Tuesday,Lunch,223.6,179.0,10.0,22.36,5/25-5/31
3206,Tuesday,Afternoon,61.3,44.1,2.0,30.65,5/25-5/31
3206,Tuesday,Dinner,239.7,187.3,12.0,19.97,5/25-5/31
3206,Tuesday,Late night,136.1,104.1,7.0,19.44,5/25-5/31
3206,Wednesday,Early morning,0.0,0.0,0.0,0.0,5/25-5/31
3206,Wednesday,Breakfast,198.4,162.2,11.0,18.04,5/25-5/31
3206,Wednesday,Lunch,141.4,108.0,6.0,23.57,5/25-5/31
3206,Wednesday,Afternoon,45.7,36.3,3.0,15.23,5/25-5/31
3206,Wednesday,Dinner,226.7,175.3,11.0,20.61,5/25-5/31
3206,Wednesday,Late night,170.0,166.2,8.0,21.25,5/25-5/31
3206,Thursday,Early morning,0.0,0.0,0.0,0.0,5/25-5/31
3206,Thursday,Breakfast,315.9,266.0,17.0,18.58,5/25-5/31
3206,Thursday,Lunch,239.6,172.5,10.0,23.96,5/25-5/31
3206,Thursday,Afternoon,54.1,47.0,3.0,18.03,5/25-5/31
3206,Thursday,Dinner,192.4,128.6,7.0,27.49,5/25-5/31
3206,Thursday,Late night,207.8,141.3,11.0,18.89,5/25-5/31
3206,Friday,Early morning,130.5,100.9,8.0,16.31,5/25-5/31
3206,Friday,Breakfast,209.6,206.2,16.0,13.1,5/25-5/31
3206,Friday,Lunch,209.1,157.2,8.0,26.14,5/25-5/31
