Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,This is the amount collected for the container deposit fee set in the catalog/menu,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax Adjustment on Marketplace Facilitator Tax for this order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Container Deposit Fee,Other payments description,Other payments,Marketplace Facilitator Tax Adjustment,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
McDonald's® (Michigan & Madison),493,#5765A,35dfee2f-045e-4b0f-b4f4-50107875765a,Delivery - Partner Using Uber App,Digital,UberEats Android,Unfulfilled,1/1/2025,2:38 PM,Uber One member,21.34,1.49,22.83,0,0,0,0,0,0,0,0,0,0,0,0,22.83,-2.99,14,0,0,0,0,0,0,0,0,0,,0,0,-1.49,0,18.35,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#5D872,3a086456-c5f6-472a-bb44-860c9e35d872,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/1/2025,2:57 PM,Uber One member,21.34,1.49,22.83,0,0,0,0,0,-3.94,-0.25,0,0,0,0,0,18.89,-2.82,16,0,0,0,0,0,0,0,0,0,,0,0,-1.24,0,14.83,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#CE761,44217a0f-be69-4759-9bd2-eff300ece761,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/1/2025,6:28 PM,Uber One member,18.97,1.33,20.3,0,0,0,0,0,0,0,0,0,0,0,0,20.3,-3.04,16,0,0,0,0,0,0,0,0,0,,0,0,-1.33,0,15.93,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,,,,,UberEats Unknown,,1/1/2025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Reverse charge on undelivered orders because restaurant was closed - order #F897F,-13.97,0,0,0,-13.97,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,,,,,UberEats Unknown,,1/2/2025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Reverse charge on undelivered orders because restaurant was closed - order #507C3,-14.93,0,0,0,-14.93,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#F3461,8e8e1f23-6b01-4bba-98c0-e4d7b52f3461,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/2/2025,10:22 AM,Non-member,15.45,1.08,16.53,0,0,0,0,0,0,0,0,0,0,0,0,16.53,-2.16,14,0,0,0,0,0,0,0,0,0,,0,0,-1.08,0,13.29,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#8B508,7d2b2340-3c7d-4af7-a593-01553b68b508,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/2/2025,7:07 PM,Non-member,32.07,2.24,34.31,0,0,0,0,0,0,0,0,0,0,0,0,34.31,-4.49,14,0,0,0,0,0,0,0,0,0,,0,0,-2.24,0,27.58,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#96663,825eaf33-fbed-453c-8e74-f2cdce296663,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/2/2025,10:18 PM,Non-member,10.59,0.74,11.33,0,0,0,0,0,0,0,0,0,0,0,0,11.33,-1.48,14,0,0,0,0,0,0,0,0,0,,0,0,-0.74,0,9.11,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#F218F,35ae5d1a-9b77-44eb-8fe0-01feeeaf218f,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/2/2025,10:28 PM,Uber One member,24.47,1.71,26.18,0,0,0,0,0,0,0,0,0,0,0,0,26.18,-3.92,16,0,0,0,0,0,0,0,0,0,,0,0,-1.71,0,20.55,1/6/2025,0,0,,0GMFEIKMOCAUNO8
