Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2026-06-03,2026-06-03,2026-06-03,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,0.00
Day of 2026-06-02,2026-06-02,2026-06-02,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,46,45,8,17.39,48.29,1,2.17,1,2.17,0.00,6.14,7.06,21.36,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,21.36
Day of 2026-06-02,2026-06-02,2026-06-02,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,49,48,3,6.12,14.07,1,2.04,0,0.00,0.00,5.41,7.31,24.18,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,24.18
Day of 2026-06-02,2026-06-02,2026-06-02,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,14,14,1,7.14,6.89,0,0.00,0,0.00,0.00,2.75,4.03,15.73,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,15.73
Day of 2026-06-01,2026-06-01,2026-06-01,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,47,47,3,6.38,16.24,0,0.00,0,0.00,0.00,4.17,4.78,18.59,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,18.59
Day of 2026-06-01,2026-06-01,2026-06-01,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,61,60,3,4.92,31.62,1,1.64,0,0.00,0.00,4.62,5.77,20.12,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,20.12
Day of 2026-06-01,2026-06-01,2026-06-01,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,20,20,2,10.00,21.65,0,0.00,0,0.00,0.00,4.26,4.89,19.12,100.0,0.0,0,NULL,3,NULL,NULL,1,2,66.67,USD,19.12
Day of 2026-05-31,2026-05-31,2026-05-31,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,87,87,7,8.05,47.70,0,0.00,0,0.00,0.00,5.45,6.10,25.59,100.0,0.0,0,NULL,3,NULL,NULL,1,2,66.67,USD,25.59
Day of 2026-05-31,2026-05-31,2026-05-31,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,59,59,5,8.47,36.67,0,0.00,0,0.00,0.00,4.22,5.30,20.43,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,20.43
Day of 2026-05-31,2026-05-31,2026-05-31,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,27,2,6.90,16.12,2,6.90,2,6.90,0.00,5.13,7.51,20.30,95.45,4.55,60,NULL,0,NULL,NULL,0,0,0.00,USD,20.30
Day of 2026-05-30,2026-05-30,2026-05-30,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,98,93,5,5.10,26.40,5,5.10,2,2.04,0.00,3.48,4.17,21.98,100.0,0.0,0,NULL,7,NULL,NULL,0,2,28.57,USD,21.98
Day of 2026-05-30,2026-05-30,2026-05-30,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,65,64,3,4.62,29.06,1,1.54,1,1.54,0.00,3.88,5.68,23.46,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,23.46
Day of 2026-05-30,2026-05-30,2026-05-30,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,27,2,6.90,17.55,2,6.90,0,0.00,3.45,5.77,6.29,23.67,100.0,0.0,0,NULL,3,NULL,NULL,0,2,66.67,USD,23.67
