Start date,End date,Business ID,Business name,Store ID,Store name,Channel,Item name,Popular item,Currency,Gross sales,Discounts,Total sold,Total item errors,Total error charges
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,2 Cheeseburger Meal,1,USD,66276.27,23013.12,6105,179,1419.76
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,10 pc. Chicken McNuggets®,1,USD,46829.82,10246.91,7818,209,1020.52
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,2 Cheeseburger Meal,1,USD,46081.02,8634.14,4322,209,1325.73
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,French Fries,1,USD,41153.95,4534.51,10675,250,942.68
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,10 pc. Chicken McNuggets®,1,USD,38102.39,9843.10,6361,132,733.50
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,10 pc. Chicken McNuggets® Meal,1,USD,35017.33,3016.74,3177,153,891.69
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,20 pc. Chicken McNuggets®,1,USD,28104.27,5521.27,2993,123,939.77
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Big Mac® Meal,1,USD,26929.36,2818.06,2439,131,743.97
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,French Fries,1,USD,26774.27,3341.64,6823,131,495.53
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,6 pc. Chicken McNuggets® Happy Meal®,1,USD,26755.59,6692.01,3697,128,693.40
2025-01-01,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,20 pc. Chicken McNuggets®,1,USD,25733.22,7371.34,2718,94,891.30
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,McChicken®,1,USD,25548.20,2520.70,7506,137,457.20
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,10 pc. Chicken McNuggets® Meal,1,USD,25487.79,2259.77,2301,81,459.44
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,6 pc. Chicken McNuggets® Happy Meal®,1,USD,20334.04,2453.33,2866,145,891.32
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Big Mac® Meal,1,USD,19533.97,2094.62,1750,82,485.74
2025-01-01,2026-06-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Hash Browns,1,USD,17014.47,1320.57,6583,117,385.51
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Hash Browns,1,USD,16943.45,1698.02,5695,79,293.31
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,McChicken®,1,USD,16681.06,1982.83,5428,80,247.91
2025-01-01,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,McDouble®,1,USD,14469.76,1378.99,3869,76,298.18
2025-07-29,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Sausage McMuffin® with Egg,1,USD,14244.51,3601.30,2988,35,163.64
2025-01-01,2026-06-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,20 pc. Chicken McNuggets®,1,USD,14219.78,3804.91,1502,35,299.10
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,10 pc. Chicken McNuggets® Meal,1,USD,13429.86,1272.69,1214,55,375.82
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Big Mac®,0,USD,13170.80,2070.46,2171,45,212.94
2025-01-02,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Double Cheeseburger,1,USD,13153.91,1330.62,3236,49,212.50
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Hash Browns,1,USD,12970.42,1190.87,4838,48,157.52
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,6 pc. Chicken McNuggets® Happy Meal®,1,USD,11284.88,2074.80,1574,42,269.53
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,McDouble®,1,USD,11067.54,1134.31,3022,53,209.09
2025-08-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Sausage McMuffin® with Egg,1,USD,10459.63,2274.11,2192,32,187.39
2025-01-01,2026-05-31,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Double Quarter Pounder® with Cheese Meal,0,USD,9549.98,1010.94,645,46,405.32
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Big Mac® Meal,1,USD,9395.16,1000.37,844,37,227.79
2025-01-10,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Chicken Pack,0,USD,9320.06,938.43,274,15,253.27
2025-01-01,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Double Quarter Pounder® with Cheese Meal,0,USD,9234.46,966.38,667,31,239.85
2025-07-29,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sausage McMuffin® with Egg,1,USD,8801.04,1641.91,1849,31,136.22
2025-01-02,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,13 Cookie Tote,0,USD,8765.18,751.90,1182,50,296.31
2025-01-04,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Classic Big Mac® Pack ,0,USD,8497.78,837.32,339,21,267.50
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,French Fries,1,USD,8303.78,930.78,2182,38,144.91
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Big Mac®,1,USD,8148.87,1315.35,1338,27,113.04
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,"Sausage, Egg & Cheese McGriddles®",1,USD,7799.71,701.63,1412,33,145.00
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Big Breakfast® with Hotcakes,1,USD,7749.74,626.53,862,27,138.12
2025-01-01,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Caramel Frappé,1,USD,7682.98,602.21,1411,58,243.00
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Quarter Pounder® with Cheese Meal,0,USD,7496.75,669.51,657,38,205.75
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Caramel Frappé,1,USD,7336.92,701.41,1364,31,125.84
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Double Cheeseburger,1,USD,7202.79,711.51,1791,26,111.63
2025-01-02,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Big Breakfast® with Hotcakes,1,USD,7056.66,532.66,787,34,267.53
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Hamburger Happy Meal®,0,USD,6850.08,548.86,1092,58,277.52
2025-01-02,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,"Sausage, Egg & Cheese McGriddles®",1,USD,6597.53,577.79,1026,18,119.65
2025-01-01,2026-05-26,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Double Quarter Pounder® with Cheese Meal,0,USD,6531.96,381.77,478,20,152.96
2025-01-03,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Basket of Fries,0,USD,6226.54,793.55,866,23,131.89
2025-01-01,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Filet-O-Fish® Meal,0,USD,6075.48,534.57,539,32,183.97
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,13 Cookie Tote,0,USD,5948.17,588.05,783,24,157.12
2025-01-02,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,"Sausage, Egg and Cheese McGriddles® Meal",1,USD,5804.11,364.45,568,40,233.67
2025-01-03,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Classic Big Mac® Pack ,0,USD,5743.56,615.06,229,15,187.49
2025-01-03,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Double Quarter Pounder® with Cheese Deluxe Meal,0,USD,5661.57,529.85,391,22,219.60
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Big Breakfast® with Hotcakes,1,USD,5406.26,414.30,588,12,69.60
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Triple Cheeseburger,0,USD,5267.51,512.11,962,17,90.50
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,"Sausage, Egg & Cheese McGriddles®",1,USD,5191.25,428.38,1017,11,46.51
2025-01-01,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,40 pc. Chicken McNuggets®,0,USD,5188.22,540.78,328,14,102.76
2025-01-02,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sausage Egg McMuffin® Meal,1,USD,5124.84,321.10,560,33,196.75
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,6 pc. Chicken McNuggets®,0,USD,5106.41,596.37,1299,34,111.68
2025-01-02,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Steak Egg Cheese Bagel Meal,0,USD,5078.69,344.96,453,28,218.50
2025-01-02,2026-05-31,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Steak Egg Cheese Bagel Meal,0,USD,5045.66,332.86,440,16,118.88
2025-01-02,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Spicy McCrispy™ Meal,0,USD,4976.51,434.34,394,22,128.97
2025-01-01,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,"Sausage, Egg and Cheese McGriddles® Meal",1,USD,4898.90,325.47,444,23,134.80
2025-01-03,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Hamburger Happy Meal®,0,USD,4890.23,400.13,766,24,120.05
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Steak Egg Cheese Bagel,1,USD,4821.01,240.69,686,7,37.66
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Spicy McCrispy™ Meal,0,USD,4750.32,281.56,378,7,30.56
2025-01-02,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Cheeseburger,0,USD,4509.64,393.85,1355,19,62.55
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Basket of Fries,0,USD,4472.18,684.01,622,14,85.45
2025-01-02,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sausage McMuffin®,1,USD,4461.17,317.68,1229,17,69.99
2025-01-02,2026-05-31,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Double Quarter Pounder® with Cheese Deluxe Meal,0,USD,4372.54,421.09,301,13,108.70
2025-01-02,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Quarter Pounder® with Cheese Meal,0,USD,4370.39,390.30,378,21,112.21
2025-01-01,2025-09-16,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Triple Cheeseburger Meal,0,USD,4268.53,418.56,407,23,162.67
2025-01-04,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,2 Cookies,0,USD,4262.09,359.50,1261,49,147.27
2025-01-02,2026-06-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Steak Egg Cheese Bagel,1,USD,4160.28,281.89,588,28,141.82
2025-01-04,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,McCrispy™ Meal,0,USD,4146.47,235.43,328,10,79.96
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Caramel Frappé,1,USD,4092.11,334.62,749,16,69.54
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Coke®,1,USD,3959.52,430.54,1868,26,53.43
2025-01-02,2025-09-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Triple Cheeseburger Meal,0,USD,3847.82,309.61,369,26,184.67
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Mocha Frappé,0,USD,3834.04,317.46,683,17,64.34
2025-01-04,2026-05-30,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Steak Egg Cheese Bagel Meal,0,USD,3749.34,270.84,329,18,142.95
2025-01-01,2025-09-25,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Triple Cheeseburger Meal,0,USD,3723.14,171.21,356,20,152.24
2025-01-02,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,4 pc. Chicken McNugget® Happy Meal®,0,USD,3715.33,256.58,557,22,94.24
2025-01-01,2026-06-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Triple Cheeseburger,0,USD,3591.58,378.86,662,7,26.57
2025-01-01,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,4 pc. Chicken McNugget® Happy Meal®,0,USD,3587.67,290.28,545,39,204.67
2025-01-08,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Hotcakes and Sausage,0,USD,3580.81,213.22,523,23,102.96
2025-01-03,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,20 pc. Chicken McNuggets® & Basket of Fries,0,USD,3578.19,436.03,231,17,146.87
2025-01-01,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sausage Burrito,1,USD,3535.73,248.23,1417,29,94.00
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Big Mac®,0,USD,3530.45,672.36,580,15,75.28
2025-01-03,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Bacon Quarter Pounder® with Cheese Meal,0,USD,3509.25,305.79,272,22,85.54
2025-01-01,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Steak Egg Cheese Bagel,1,USD,3501.68,257.08,501,11,61.62
2025-01-05,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Sausage Egg McMuffin® Meal,0,USD,3482.80,225.35,377,10,46.51
2025-01-01,2026-05-29,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Daily Double®,0,USD,3454.94,417.85,798,14,56.78
2025-01-01,2026-05-30,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Sausage Egg McMuffin® Meal,1,USD,3444.55,167.36,367,9,58.11
2026-02-26,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,BIG ARCH™ Meal,0,USD,3423.39,423.18,217,16,138.95
2025-01-02,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Triple Cheeseburger,0,USD,3400.43,241.70,658,7,24.14
2025-01-01,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Double Filet-O-Fish® Meal,0,USD,3389.67,358.63,264,23,164.69
2025-01-02,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Double Filet-O-Fish® Meal,0,USD,3340.76,224.61,260,15,83.11
2025-01-01,2026-06-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Sausage Burrito,1,USD,3318.82,242.37,1158,11,41.12
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sprite®,0,USD,3298.16,336.76,1574,31,63.43
2025-01-01,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Mocha Frappé,0,USD,3292.92,258.26,577,14,70.99
2025-01-04,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Filet-O-Fish® Meal,0,USD,3256.16,288.19,297,16,110.58
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Hi-C® Orange,0,USD,3249.87,327.05,1553,37,59.68
2025-01-01,2026-06-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Quarter Pounder® with Cheese Meal,0,USD,3184.25,224.47,272,13,85.69
2025-01-01,2026-06-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,"Sausage, Egg and Cheese McGriddles® Meal",0,USD,3088.00,180.11,313,15,90.23
2025-01-04,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Quarter Pounder® with Cheese Deluxe Meal,0,USD,3078.52,252.42,253,11,62.69
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Filet-O-Fish®,0,USD,3072.44,309.26,523,15,63.88
