Granularity,Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,8,0,115.08,14.39
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,56.16,18.72
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2,0,65.32,32.66
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,11,0,223.32,20.30
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,20,0,487.03,24.35
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,9,0,134.29,14.92
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,5,0,83.14,16.63
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,3,0,116.43,38.81
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,18,0,444.58,24.70
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,8,0,108.35,13.54
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,24,0,574.72,23.95
Day of 2025-01-01,2025-01-01,2025-01-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,8,0,77.86,9.73
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,14,1,189.56,13.54
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,4,0,72.08,18.02
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,6,0,136.84,22.81
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2,0,15.37,7.69
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,3,0,75.92,25.31
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,28,0,552.65,19.74
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,17.48,17.48
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,20,0,493.08,24.65
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,20,0,438.17,21.91
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,4,0,49.68,12.42
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,12,0,176.49,14.71
Day of 2025-01-02,2025-01-02,2025-01-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,61.09,20.36
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,23,0,604.39,26.28
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,23,1,485.76,21.12
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,unknown,USD,1,1,22.14,22.14
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,11,0,181.51,16.50
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,12,0,244.33,20.36
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,8,0,199.03,24.88
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,48,0,1036.64,21.60
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,0,60.79,15.20
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,8,0,154.82,19.35
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,29.75,14.88
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,13,0,193.68,14.90
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,11,0,181.05,16.46
Day of 2025-01-03,2025-01-03,2025-01-03,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,22,1,416.38,18.93
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,12,1,269.28,22.44
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,17,0,300.00,17.65
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,5,0,129.80,25.96
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,4,0,49.00,12.25
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,16,0,268.46,16.78
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,15.46,15.46
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,1,0,3.89,3.89
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,24,1,349.24,14.55
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,5,0,102.28,20.46
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,44,2,953.90,21.68
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,10,0,180.96,18.10
Day of 2025-01-04,2025-01-04,2025-01-04,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,3,0,58.72,19.57
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,17,0,326.55,19.21
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,20,0,383.35,19.17
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,12,0,259.43,21.62
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,30,1,666.74,22.22
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,6,0,172.31,28.72
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2,0,35.40,17.70
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,16,0,279.65,17.48
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,9,0,177.67,19.74
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,8,0,182.06,22.76
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,26,2,500.41,19.25
