Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-06-01,USD,Marketplace,8450.38,0.00,-1132.20,0.00,-81.18,-627.67,-48.45,0.00,48.45,0.00,-708.85,0.00,0.00,0.00,-226.12,97.20,6480.41,7783.23,-544.68,48.45,627.67,582954454,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-06-01,USD,Storefront,23.04,0.00,0.00,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.49,0.00,19.26,23.04,-1.61,0.00,0.00,582954454,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-06-01,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.54,42.54,0.00,0.00,0.00,0.00,582954454,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-25,USD,Marketplace,8459.13,0.00,-1124.30,0.00,-94.05,-678.84,-52.92,0.00,52.92,0.00,-772.89,0.00,0.00,0.00,-155.86,134.05,6540.13,7730.36,-541.15,72.01,678.84,581083626,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-25,USD,Storefront,30.96,0.00,0.00,-1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.28,30.96,-2.17,0.00,0.00,581083626,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-25,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.95,45.95,0.00,0.00,0.00,0.00,581083626,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-18,USD,Marketplace,9191.56,0.00,-1207.64,0.00,-98.01,-807.71,-98.73,0.00,98.73,0.00,-905.72,0.00,0.00,0.00,-300.20,45.39,6823.39,8303.07,-581.24,120.52,807.71,579221352,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-18,USD,Storefront,20.46,0.00,0.00,-1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,20.46,-1.43,0.00,0.00,579221352,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.97,45.97,0.00,0.00,0.00,0.00,579221352,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-05-11,USD,Marketplace,9175.98,0.00,-1215.55,0.00,-83.16,-703.34,-128.04,0.00,128.04,0.00,-786.50,0.00,0.00,0.00,-209.05,109.67,7074.55,8350.58,-584.54,146.04,703.34,577351720,PAID
