Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-09-26,true,14f82d78-aadf-4f8b-87b0-febde4b61fd2,Sponsored Listing 08/26/2025,2025-08-26,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,337,47,22,480.98,66.0,0.0,0.0,21.86,3.0,7.29,3,16,21
2025-09-26,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-09-27,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-09-27,true,14f82d78-aadf-4f8b-87b0-febde4b61fd2,Sponsored Listing 08/26/2025,2025-08-26,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,365,42,19,457.72,57.0,0.0,0.0,24.09,3.0,8.03,1,18,19
2025-09-28,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-09-28,true,14f82d78-aadf-4f8b-87b0-febde4b61fd2,Sponsored Listing 08/26/2025,2025-08-26,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,424,46,17,331.88,51.0,0.0,0.0,19.52,3.0,6.51,0,16,17
2025-09-29,true,14f82d78-aadf-4f8b-87b0-febde4b61fd2,Sponsored Listing 08/26/2025,2025-08-26,2025-09-29,655822,McDonald's (493-S BND-N MICHIGAN),USD,58,10,5,77.99,15.0,0.0,0.0,15.6,3.0,5.2,0,5,5
2025-09-29,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-09-30,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-01,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,27,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-01,false,c9f08457-b7a0-486f-a8c7-209fd2d3a813,McDonald's Ad Campaign (AACM) 9/1-9/30/25,2025-09-01,2025-10-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-02,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,18,3,1,36.15,3.0,0.0,0.0,36.15,3.0,12.05,0,1,1
2025-10-03,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,31,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-04,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,41,5,1,2.34,3.0,0.0,0.0,2.34,3.0,0.78,1,0,1
2025-10-05,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,41,3,1,15.77,3.0,0.0,0.0,15.77,3.0,5.26,0,1,1
2025-10-06,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-07,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,41,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-08,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,28,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-09,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,20,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-10-10,false,31d68937-5529-4445-8fed-c3a17bfddc54,McDonald's Ad Campaign (AACM) 10/1-10/31/25,2025-10-01,2025-10-31,655822,McDonald's (493-S BND-N MICHIGAN),USD,30,3,2,62.84,6.0,0.0,0.0,31.42,3.0,10.47,0,1,2
